,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
160,PTSD,"G Herbo",221348,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
161,"TELL ME WHY","The Kid LAROI",220557,https://open.spotify.com/track/3jlxX3VXPiY3lvBBbppQD3
162,"Godzilla (feat. Juice WRLD)",Eminem,219043,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
163,"Stuck with U (with Justin Bieber)","Ariana Grande",218274,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
164,Conversations,"Juice WRLD",217497,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
165,"MIDDLE CHILD","J. Cole",217060,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
166,"Armed And Dangerous","Juice WRLD",215999,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
167,"I Fall Apart","Post Malone",215491,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
168,"Say You Won't Let Go","James Arthur",214157,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
169,"Heartless (feat. Morgan Wallen)",Diplo,213358,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
170,"High Fashion (feat. Mustard)","Roddy Ricch",212734,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
171,"Pretty Heart","Parker McCollum",212730,https://open.spotify.com/track/6vC90OOjZR165Hw8CpsqEm
172,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",212044,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
173,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",211452,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
174,"Flex (feat. Juice WRLD)","Polo G",211437,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
175,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",210612,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf
176,"Dancing in My Room",347aidan,210380,https://open.spotify.com/track/7CCCX50zGHMTuHsyKQy03l
177,"No Guidance (feat. Drake)","Chris Brown",209634,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
178,"I Hope","Gabby Barrett",208891,https://open.spotify.com/track/23T0OX7QOiIUFShSzbJ5Uo
179,"Space Cadet (feat. Gunna)","Metro Boomin",208801,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
180,Promiscuous,"Nelly Furtado",207078,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
181,"Underneath the Tree","Kelly Clarkson",206652,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
182,"Breaking Me",Topic,206353,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
183,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",205786,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
184,"Mr Loverman","Ricky Montgomery",205222,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt
185,"10,000 Hours (with Justin Bieber)","Dan + Shay",205013,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
186,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",204992,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
187,"everything i wanted","Billie Eilish",204712,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
188,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,204602,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
189,"Hit Different",SZA,203699,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU
190,"XO Tour Llif3","Lil Uzi Vert",203697,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
191,"Blueberry Eyes (feat. SUGA of BTS)",MAX,203672,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
192,"Cover Me Up","Morgan Wallen",203321,https://open.spotify.com/track/7Jd0VVrzeTTWipxSzJ81aC
193,"Money Trees","Kendrick Lamar",203182,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
194,"THE SCOTTS","THE SCOTTS",202508,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
195,"Toosie Slide",Drake,201697,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
196,"when the party's over","Billie Eilish",201167,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
197,"GREECE (feat. Drake)","DJ Khaled",199679,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
198,"Mad at Disney","salem ilese",198971,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
199,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",198710,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
200,"3 Headed Goat (feat. Lil Baby & Polo G)","Lil Durk",198576,https://open.spotify.com/track/2h4cmbyb6S7e8igDZIITJU
